GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
example,edu.ucsb.cs156.happiercows.services,SystemInfoService,0,3,0,0,0,1,0,1,0,1
example,edu.ucsb.cs156.happiercows.services,CurrentUserService,0,10,0,2,0,2,0,3,0,2
example,edu.ucsb.cs156.happiercows.services,SystemInfoServiceImpl,0,27,0,0,0,9,0,3,0,3
example,edu.ucsb.cs156.happiercows.services,GrantedAuthoritiesService,0,21,0,0,0,7,0,3,0,3
example,edu.ucsb.cs156.happiercows.services.jobs,JobService,0,55,0,0,0,19,0,3,0,3
example,edu.ucsb.cs156.happiercows.services.jobs,JobContext,0,48,0,4,0,7,0,4,0,2
example,edu.ucsb.cs156.happiercows.advice,HappierCowsControllerAdvice,0,11,0,0,0,4,0,3,0,3
example,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJob,0,146,0,6,0,22,0,7,0,4
example,edu.ucsb.cs156.happiercows.jobs,TestJob,0,31,0,4,0,10,0,3,0,1
example,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJobFactory,0,15,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.happiercows.jobs,ScheduledJobs,0,39,0,0,0,12,0,4,0,4
example,edu.ucsb.cs156.happiercows.jobs,UpdateCowHealthJobFactory,0,27,0,0,0,5,0,3,0,3
example,edu.ucsb.cs156.happiercows.jobs,InstructorReportJob,0,10,0,0,0,4,0,1,0,1
example,edu.ucsb.cs156.happiercows.jobs,MilkTheCowsJob,0,165,0,4,0,39,0,7,0,5
example,edu.ucsb.cs156.happiercows.errors,NoCowsException,0,4,0,0,0,2,0,1,0,1
example,edu.ucsb.cs156.happiercows.errors,NotEnoughMoneyException,0,4,0,0,0,2,0,1,0,1
example,edu.ucsb.cs156.happiercows.errors,EntityNotFoundException,0,47,0,0,0,8,0,2,0,2
example,edu.ucsb.cs156.happiercows.entities,User,0,16,0,0,0,1,0,1,0,1
example,edu.ucsb.cs156.happiercows.controllers,UserCommonsController,0,231,0,4,0,42,0,14,0,12
example,edu.ucsb.cs156.happiercows.controllers,CommonsController,0,394,0,8,0,90,0,20,0,16
example,edu.ucsb.cs156.happiercows.controllers,UsersController,0,16,0,0,0,4,0,2,0,2
example,edu.ucsb.cs156.happiercows.controllers,JobsController,0,53,0,0,0,15,0,7,0,7
example,edu.ucsb.cs156.happiercows.controllers,ProfitsController,0,56,0,2,0,9,0,5,0,4
example,edu.ucsb.cs156.happiercows.controllers,CSRFController,0,5,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.happiercows.controllers,UserInfoController,0,6,0,0,0,2,0,2,0,2
example,edu.ucsb.cs156.happiercows.controllers,ApiController,0,33,0,0,0,10,0,6,0,6
example,edu.ucsb.cs156.happiercows.controllers,SystemInfoController,0,7,0,0,0,2,0,2,0,2
